,bhk,type,area,region,Price_in_Lakhs
430,3,Apartment,2100.0,Andheri West,975.0
431,4,Apartment,2500.0,Andheri West,1225.0
433,5,Apartment,4600.0,Andheri West,2450.0
438,2,Apartment,1100.0,Andheri West,425.0
439,2,Apartment,900.0,Andheri West,359.0
440,2,Apartment,1012.0,Andheri West,390.0
441,2,Apartment,700.0,Andheri West,280.0
443,3,Apartment,1250.0,Andheri West,690.0
444,3,Apartment,1938.0,Andheri West,1034.0
445,3,Apartment,1091.0,Andheri West,500.0
450,3,Apartment,1506.0,Andheri West,919.0
451,3,Apartment,1080.0,Andheri West,475.0
452,3,Apartment,1080.0,Andheri West,475.0
453,3,Apartment,1341.0,Andheri West,575.0
456,2,Apartment,1080.0,Andheri West,385.0
458,4,Apartment,3208.0,Andheri West,1450.0
460,4,Apartment,6450.0,Andheri West,3000.0
461,3,Apartment,1764.0,Andheri West,700.0
462,4,Apartment,2698.0,Andheri West,1200.0
464,4,Apartment,2698.0,Andheri West,1200.0
468,2,Apartment,1036.0,Andheri West,450.0
472,2,Apartment,1080.0,Andheri West,395.0
476,3,Apartment,1200.0,Andheri West,500.0
480,2,Apartment,665.0,Andheri West,250.0
481,3,Apartment,1650.0,Andheri West,675.0
482,2,Apartment,802.0,Andheri West,299.0
483,3,Apartment,1478.0,Andheri West,788.0
484,3,Apartment,1174.0,Andheri West,542.0
485,3,Apartment,1179.0,Andheri West,554.0
486,3,Apartment,1181.0,Andheri West,557.0
487,2,Apartment,932.0,Andheri West,443.0
488,3,Apartment,1335.0,Andheri West,628.0
489,3,Apartment,1234.0,Andheri West,607.0
490,4,Apartment,1648.0,Andheri West,792.0
491,3,Apartment,1305.0,Andheri West,621.0
492,4,Apartment,1705.0,Andheri West,856.0
493,3,Apartment,1142.0,Andheri West,545.0
494,3,Apartment,1344.0,Andheri West,655.0
495,3,Apartment,1105.0,Andheri West,597.0
496,3,Apartment,1418.0,Andheri West,681.0
497,3,Apartment,1357.0,Andheri West,737.0
498,3,Apartment,1210.0,Andheri West,595.0
499,2,Apartment,894.0,Andheri West,426.0
501,4,Apartment,3675.0,Andheri West,1600.0
502,5,Apartment,2600.0,Andheri West,1300.0
504,1,Apartment,624.0,Andheri West,257.0
505,5,Apartment,3097.0,Andheri West,1599.0
506,2,Apartment,864.0,Andheri West,310.0
509,1,Apartment,330.0,Andheri West,139.0
510,1,Apartment,366.0,Andheri West,154.0
511,2,Apartment,864.0,Andheri West,310.0
514,4,Apartment,3050.0,Andheri West,1400.0
515,3,Apartment,2300.0,Andheri West,1100.0
516,3,Apartment,986.0,Anjurdive,121.0
517,1,Apartment,417.0,Anjurdive,50.39
518,3,Apartment,986.0,Anjurdive,121.0
519,3,Apartment,986.0,Anjurdive,121.0
520,1,Apartment,417.0,Anjurdive,50.39
521,1,Apartment,417.0,Anjurdive,50.39
522,2,Villa,1800.0,Anjurdive,265.0
523,3,Apartment,983.0,Anjurdive,126.0
524,3,Apartment,986.0,Anjurdive,127.0
525,3,Apartment,953.0,Anjurdive,122.0
526,3,Apartment,1004.0,Anjurdive,129.0
527,3,Apartment,986.0,Anjurdive,121.0
528,1,Apartment,417.0,Anjurdive,50.39
529,3,Apartment,986.0,Anjurdive,121.0
530,1,Apartment,417.0,Anjurdive,50.39
531,3,Apartment,986.0,Anjurdive,121.0
532,1,Apartment,417.0,Anjurdive,50.39
533,3,Apartment,986.0,Anjurdive,121.0
534,1,Apartment,417.0,Anjurdive,50.39
535,3,Apartment,986.0,Anjurdive,121.0
536,1,Apartment,417.0,Anjurdive,50.4
537,3,Apartment,986.0,Anjurdive,121.0
538,1,Apartment,417.0,Anjurdive,50.39
539,3,Apartment,1075.0,Anjurdive,162.0
540,3,Apartment,986.0,Anjurdive,121.0
541,1,Apartment,417.0,Anjurdive,50.39
542,3,Apartment,986.0,Anjurdive,121.0
543,1,Apartment,417.0,Anjurdive,50.39
544,1,Apartment,396.0,Badlapur East,29.84
545,1,Apartment,396.0,Badlapur East,29.84
546,1,Apartment,361.0,Badlapur East,28.0
547,1,Apartment,361.0,Badlapur East,28.0
548,1,Apartment,377.0,Badlapur East,28.2
549,1,Apartment,377.0,Badlapur East,28.2
550,1,Apartment,382.0,Badlapur East,28.61
551,1,Apartment,382.0,Badlapur East,28.61
552,1,Apartment,750.0,Badlapur East,52.0
556,1,Studio Apartment,300.0,Badlapur East,17.97
557,1,Apartment,370.0,Badlapur East,24.0
558,1,Apartment,353.0,Badlapur East,21.85
559,1,Apartment,363.0,Badlapur East,22.47
560,1,Apartment,354.0,Badlapur East,21.91
561,1,Apartment,344.0,Badlapur East,21.3
562,1,Apartment,355.0,Badlapur East,21.98
563,1,Apartment,323.0,Badlapur East,20.0
564,1,Apartment,346.0,Badlapur East,27.99
565,1,Apartment,400.0,Badlapur East,22.0
566,1,Apartment,395.0,Badlapur East,24.0
567,1,Apartment,438.0,Badlapur East,24.0
568,1,Apartment,465.0,Badlapur East,26.0
570,1,Apartment,538.0,Badlapur East,31.0
571,3,Apartment,1059.0,Badlapur East,78.5
572,3,Apartment,943.0,Badlapur East,70.49
573,2,Apartment,651.0,Badlapur East,47.5
574,2,Apartment,635.0,Badlapur East,45.78
575,1,Apartment,351.0,Badlapur East,24.0
576,1,Apartment,577.0,Badlapur East,36.0
577,1,Apartment,460.0,Badlapur East,29.0
578,1,Apartment,490.0,Badlapur East,29.0
583,1,Apartment,652.0,Badlapur East,38.0
584,1,Apartment,514.0,Badlapur East,33.0
585,1,Apartment,337.0,Badlapur East,29.8
586,1,Apartment,380.0,Badlapur East,31.0
587,1,Apartment,362.0,Badlapur East,40.36
588,1,Apartment,476.0,Badlapur East,51.94
589,1,Apartment,337.0,Badlapur East,23.37
590,1,Apartment,380.0,Badlapur East,26.35
591,1,Apartment,420.0,Badlapur East,23.0
592,1,Apartment,350.0,Badlapur East,20.0
593,1,Apartment,470.0,Badlapur East,30.0
594,1,Apartment,345.0,Badlapur West,19.91
595,1,Apartment,352.0,Badlapur West,20.5
596,1,Apartment,366.0,Badlapur West,21.28
597,1,Apartment,333.0,Badlapur West,19.33
598,1,Apartment,358.0,Badlapur West,20.89
599,1,Apartment,372.0,Badlapur West,21.67
600,1,Apartment,380.0,Badlapur West,22.06
601,1,Apartment,590.0,Badlapur West,32.0
602,1,Apartment,590.0,Badlapur West,32.0
603,1,Studio Apartment,300.0,Badlapur West,16.0
604,1,Apartment,590.0,Badlapur West,33.0
606,1,Apartment,690.0,Badlapur West,35.0
607,1,Apartment,450.0,Badlapur West,30.0
608,2,Apartment,650.0,Badlapur West,45.5
609,1,Apartment,430.0,Badlapur West,30.0
610,1,Apartment,400.0,Badlapur West,22.5
612,1,Apartment,367.0,Badlapur West,22.9
613,1,Apartment,350.0,Badlapur West,20.8
614,2,Apartment,642.0,Badlapur West,44.5
615,1,Apartment,400.0,Badlapur West,25.0
617,1,Apartment,406.0,Badlapur West,24.0
618,1,Apartment,642.0,Badlapur West,35.0
620,1,Apartment,560.0,Badlapur West,28.2
621,4,Villa,2250.0,Badlapur West,120.0
623,1,Apartment,505.0,Badlapur West,33.5
626,1,Apartment,442.0,Badlapur West,24.0
627,3,Apartment,1350.0,Bandra East,700.0
628,3,Apartment,1600.0,Bandra East,800.0
629,3,Apartment,1650.0,Bandra East,900.0
632,3,Apartment,1350.0,Bandra East,700.0
633,3,Apartment,1600.0,Bandra East,800.0
634,3,Apartment,1650.0,Bandra East,900.0
637,3,Apartment,1096.0,Bandra East,648.0
638,3,Apartment,945.0,Bandra East,572.0
639,3,Apartment,996.0,Bandra East,600.0
641,3,Apartment,1200.0,Bandra East,601.0
642,6,Apartment,3600.0,Bandra East,1900.0
643,6,Apartment,3200.0,Bandra East,1800.0
646,6,Apartment,3800.0,Bandra East,2000.0
648,3,Apartment,1250.0,Bandra East,625.0
649,4,Apartment,1460.0,Bandra East,1000.0
650,4,Apartment,1460.0,Bandra East,1000.0
651,4,Apartment,1460.0,Bandra East,1000.0
652,4,Apartment,1945.0,Bandra East,1140.0
653,4,Apartment,1657.0,Bandra East,950.0
654,3,Apartment,1321.0,Bandra East,783.0
655,3,Apartment,1197.0,Bandra East,712.0
656,2,Apartment,781.0,Bandra East,575.0
657,3,Apartment,1096.0,Bandra East,613.0
658,3,Apartment,945.0,Bandra East,541.0
659,3,Apartment,996.0,Bandra East,567.0
660,3,Apartment,1235.0,Bandra East,673.0
661,3,Apartment,1327.0,Bandra East,700.0
662,3,Apartment,1283.0,Bandra East,700.0
663,3,Apartment,1197.0,Bandra East,650.0
664,3,Apartment,1064.0,Bandra East,600.0
665,2,Apartment,782.0,Bandra East,459.0
666,3,Apartment,1197.0,Bandra East,600.0
667,4,Apartment,2100.0,Bandra East,1175.0
668,4,Apartment,2000.0,Bandra East,1175.0
669,3,Apartment,1613.0,Bandra East,819.0
671,3,Apartment,1421.0,Bandra East,710.0
672,3,Apartment,1221.0,Bandra East,655.0
674,3,Apartment,1200.0,Bandra East,651.0
675,3,Apartment,1250.0,Bandra East,675.0
676,3,Apartment,1260.0,Bandra East,650.0
677,4,Apartment,1650.0,Bandra East,900.0
678,4,Apartment,1833.0,Bandra East,1000.0
679,4,Apartment,2400.0,Bandra East,1350.0
680,3,Apartment,1560.0,Bandra East,800.0
681,3,Apartment,1406.0,Bandra Kurla Complex,550.0
682,4,Apartment,1397.0,Bandra Kurla Complex,700.0
683,5,Apartment,8000.0,Bandra Kurla Complex,3500.0
684,4,Apartment,5000.0,Bandra Kurla Complex,2100.0
685,4,Apartment,5750.0,Bandra Kurla Complex,2300.0
686,4,Apartment,5421.0,Bandra Kurla Complex,2250.0
687,4,Apartment,6405.0,Bandra Kurla Complex,2550.0
688,4,Apartment,5787.0,Bandra Kurla Complex,2370.0
689,5,Apartment,5200.0,Bandra Kurla Complex,2500.0
691,3,Apartment,2000.0,Bandra West,2500.0
692,3,Apartment,1337.0,Bandra West,1000.0
693,2,Apartment,748.0,Bandra West,501.0
695,2,Apartment,1100.0,Bandra West,850.0
696,3,Apartment,1560.0,Bandra West,1350.0
699,3,Apartment,1500.0,Bandra West,1350.0
701,2,Apartment,850.0,Bandra West,700.0
702,2,Apartment,850.0,Bandra West,700.0
704,3,Apartment,1600.0,Bandra West,1900.0
706,3,Apartment,1200.0,Bandra West,1000.0
707,2,Apartment,1120.0,Bandra West,775.0
708,2,Apartment,1120.0,Bandra West,775.0
710,3,Apartment,2000.0,Bandra West,1500.0
712,3,Apartment,1644.0,Belapur,370.0
713,2,Apartment,1250.0,Belapur,240.0
714,2,Apartment,1050.0,Belapur,185.0
715,1,Studio Apartment,350.0,Bhandup East,60.0
716,2,Apartment,800.0,Bhandup East,127.0
717,1,Apartment,401.0,Bhandup East,65.0
718,1,Apartment,595.0,Bhandup East,95.0
719,1,Apartment,401.0,Bhandup East,65.0
720,1,Apartment,411.0,Bhandup East,63.0
721,1,Apartment,411.0,Bhandup East,63.0
722,1,Apartment,411.0,Bhandup East,63.0
723,2,Apartment,670.0,Bhandup East,130.0
724,1,Apartment,600.0,Bhandup East,90.0
725,1,Apartment,600.0,Bhandup East,90.0
726,1,Apartment,550.0,Bhandup East,86.0
727,1,Apartment,550.0,Bhandup East,90.0
728,1,Apartment,575.0,Bhandup East,90.0
729,1,Apartment,431.0,Bhandup East,70.0
731,1,Apartment,400.0,Bhandup West,99.0
732,2,Apartment,600.0,Bhandup West,148.0
733,1,Apartment,400.0,Bhandup West,99.0
734,2,Apartment,600.0,Bhandup West,148.0
736,1,Apartment,431.0,Bhandup West,98.2
737,1,Apartment,400.0,Bhandup West,99.0
738,1,Apartment,400.0,Bhandup West,99.0
739,2,Apartment,600.0,Bhandup West,148.0
740,2,Apartment,600.0,Bhandup West,148.0
741,1,Apartment,400.0,Bhandup West,99.0
742,1,Apartment,400.0,Bhandup West,99.0
743,2,Apartment,600.0,Bhandup West,148.0
744,2,Apartment,600.0,Bhandup West,148.0
747,2,Apartment,600.0,Bhandup West,148.0
748,2,Apartment,600.0,Bhandup West,148.0
749,2,Apartment,600.0,Bhandup West,148.0
752,1,Apartment,400.0,Bhandup West,99.0
753,2,Apartment,600.0,Bhandup West,148.0
754,2,Apartment,675.0,Bhandup West,170.0
755,1,Apartment,498.0,Bhandup West,122.0
756,1,Apartment,400.0,Bhandup West,99.0
757,1,Apartment,400.0,Bhandup West,99.0
758,2,Apartment,600.0,Bhandup West,148.0
759,2,Apartment,600.0,Bhandup West,148.0
761,1,Apartment,403.0,Bhandup West,95.0
762,1,Apartment,419.0,Bhandup West,94.0
763,1,Apartment,425.0,Bhandup West,95.0
764,1,Apartment,434.0,Bhandup West,95.0
768,1,Apartment,498.0,Bhandup West,112.0
769,1,Apartment,400.0,Bhandup West,99.0
770,2,Apartment,600.0,Bhandup West,148.0
771,2,Apartment,600.0,Bhandup West,148.0
772,1,Apartment,500.0,Bhandup West,122.0
773,1,Apartment,396.0,Bhandup West,87.77
774,1,Apartment,370.0,Bhandup West,82.77
775,1,Apartment,351.0,Bhandup West,77.77
777,1,Apartment,629.0,Bhandup West,138.0
778,1,Apartment,390.0,Bhandup West,85.77
779,1,Apartment,365.0,Bhandup West,80.77
780,1,Apartment,450.0,Bhandup West,95.0
781,1,Apartment,446.0,Bhandup West,108.0
782,1,Apartment,392.0,Bhandup West,105.0
785,1,Apartment,379.0,Bhandup West,85.0
792,1,Apartment,405.0,Bhandup West,100.0
793,3,Apartment,1050.0,Bhandup West,270.0
794,1,Apartment,400.0,Bhandup West,85.0
796,1,Apartment,430.0,Bhandup West,95.0
797,1,Apartment,372.0,Bhandup West,80.0
798,1,Apartment,403.0,Bhandup West,95.0
799,1,Apartment,419.0,Bhandup West,94.0
800,1,Apartment,425.0,Bhandup West,95.0
801,1,Apartment,403.0,Bhandup West,95.0
802,1,Apartment,326.0,Bhandup West,90.0
803,1,Apartment,455.0,Bhandup West,95.99
804,1,Apartment,450.0,Bhandup West,94.99
805,1,Apartment,495.0,Bhandup West,109.0
806,1,Apartment,419.0,Bhandup West,94.0
807,1,Apartment,425.0,Bhandup West,95.0
808,2,Apartment,600.0,Bhandup West,150.0
809,1,Apartment,400.0,Bhandup West,91.0
811,1,Apartment,390.0,Bhandup West,95.0
812,1,Apartment,400.0,Bhandup West,90.0
813,1,Apartment,481.0,Bhandup West,107.0
814,1,Apartment,431.0,Bhandup West,98.2
815,1,Apartment,431.0,Bhandup West,98.2
819,1,Apartment,431.0,Bhandup West,98.2
820,1,Apartment,450.0,Bhandup West,95.0
821,3,Apartment,1215.0,Bhandup West,320.0
822,1,Apartment,395.0,Bhayandar East,55.99
823,2,Apartment,900.0,Bhayandar East,145.0
824,1,Apartment,480.0,Bhayandar East,72.0
825,1,Apartment,480.0,Bhayandar East,72.0
826,2,Apartment,680.0,Bhayandar East,120.0
827,1,Apartment,480.0,Bhayandar East,72.0
828,2,Apartment,680.0,Bhayandar East,120.0
831,2,Apartment,840.0,Bhayandar East,173.0
832,1,Apartment,499.0,Bhayandar East,68.5
833,1,Apartment,499.0,Bhayandar East,68.5
835,1,Apartment,482.0,Bhayandar East,69.55
836,1,Apartment,510.0,Bhayandar East,74.0
838,1,Apartment,499.0,Bhayandar East,68.5
839,1,Apartment,481.0,Bhayandar East,70.0
841,1,Apartment,495.0,Bhayandar East,69.5
842,1,Apartment,490.0,Bhayandar East,69.0
844,1,Apartment,480.0,Bhayandar East,67.0
845,2,Apartment,630.0,Bhayandar East,109.0
846,1,Apartment,425.0,Bhayandar East,71.18
847,1,Apartment,400.0,Bhayandar East,63.0
848,2,Apartment,600.0,Bhayandar East,104.0
849,1,Apartment,459.0,Bhayandar East,65.37
850,1,Apartment,430.0,Bhayandar East,62.92
852,2,Apartment,630.0,Bhayandar East,109.0
853,1,Apartment,425.0,Bhayandar East,66.7
854,1,Apartment,400.0,Bhayandar East,66.7
855,2,Apartment,600.0,Bhayandar East,104.0
